unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
6a92f13b-e972-4a49-ac87-2891c797679c-005bddd9,6020569,Walls,Basic Wall,בלוק 22+טיח חוץ,-,405,315.5,25,3.19E+06,"{6235.078941, 3877.624917, 2202.25}","{0,-1,0}",1.32E+06,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bdde3,6020579,Windows,Tovna_Mamad_Zinor8_Int,"8""_int",6a92f13b-e972-4a49-ac87-2891c797679c-005bdd70,26,26,29.5,19942,"{5747.917802, 5096.650604, 2262.5}","{1,0,0}",3138.904876,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bdde8,6020584,Walls,Basic Wall,בטון 22+ 3 טיח,-,332.5,108.5,25,901906.25,"{4929.417802, 5452.368599, 2193.75}","{0,1,0}",797735.25,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddea,6020586,Walls,Basic Wall,בטון 30,-,350.656189,295,30,3.10E+06,"{5900.667802, 5449.868599, 2184.671906}","{0,1,0}",2.68E+06,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bdded,6020589,Windows,קיפ ציר תחתון+ארגז תריס,100/120,6a92f13b-e972-4a49-ac87-2891c797679c-005bddb6,108,154,35,582120,"{5686.078941, 3880.624917, 2214.5}","{0,-1,0}",44617.11195,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddf5,6020597,Windows,ממד נגרר-כנף אחד,100/100,6a92f13b-e972-4a49-ac87-2891c797679c-005bdd83,176.5,114,30,603630,"{6609.328941, 3880.124917, 2199.5}","{0,-1,0}",56437.4,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddf6,6020598,Windows,Tovna_Mamad_Zinor4_Ext,"8""_ext",6a92f13b-e972-4a49-ac87-2891c797679c-005bdd83,18,18,55,17820,"{6487.578941, 3877.124917, 2262.5}","{0,1,0}",2645.300072,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddf7,6020599,Windows,Tovna_Mamad_Zinor4_Ext,"8""_ext",6a92f13b-e972-4a49-ac87-2891c797679c-005bddb5,18,18,55,17820,"{5421.578941, 3877.124917, 2262.5}","{0,1,0}",2645.300072,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddf9,6020601,Windows,ממד נגרר-כנף אחד,100/100,6a92f13b-e972-4a49-ac87-2891c797679c-005bddea,114,176.5,30,603630,"{5859.917802, 5449.868599, 2199.5}","{0,1,0}",56437.4,-
6a92f13b-e972-4a49-ac87-2891c797679c-005bddfa,6020602,Windows,Tovna_Mamad_Zinor4_Ext,"8""_ext",6a92f13b-e972-4a49-ac87-2891c797679c-005bddea,18,18,55,17820,"{5983.167802, 5452.868599, 2262.5}","{0,-1,0}",2645.300072,-
