unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
8625196e-5405-4418-b1c8-678a6e6ffa69-004a1aaf,4856495,Floors,Floor,כביש אספלט,-,2227.911593,74,5020.683137,8.28E+08,"{8583.667486, 4352.92878, -73}","{0.321741,0.946828,0}",3.03E+07,-
3cf07e43-8bf3-45b1-8ca7-38ca60ce8631-004a1c7f,4856959,Floors,Floor,מדרכה 15,-,3499.077052,88,5463.91387,1.68E+09,"{9052.235911, 4351.798125, -66}","{0.321741,0.946828,0}",1.05E+08,-
ad946a26-232c-4ac5-a303-dec9376a9db0-004a3a82,4864642,Walls,Basic Wall,בטון 20,-,2361.666388,368.820679,20,1.74E+07,"{6844.000996, 5756.137473, -114.41034}","{0,1,0}",1.71E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d13cc,5051340,Walls,Basic Wall,בטון 47,-,838.400092,987,47,3.89E+07,"{7161.778987, 3598.709634, -656.5}","{0,-1,0}",3.87E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d14a5,5051557,Walls,Basic Wall,בטון 47,-,900.013346,1047.767931,47,4.43E+07,"{7621.840181, 5742.393137, -626.116035}","{-0.000573,1.0,0}",4.38E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d1563,5051747,Walls,Basic Wall,בטון 50,-,230,1135,50,1.31E+07,"{6717.578941, 3980.124917, -582.5}","{1,0,0}",1.01E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d156c,5051756,Walls,Basic Wall,בטון 50,-,615,1187.2,50,3.65E+07,"{5480.078941, 3890.126005, -596.6}","{0,-1,0}",2.82E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d156f,5051759,Walls,Basic Wall,בטון 50,-,179.998913,1065.2,50,9.59E+06,"{5197.578941, 4005.125461, -547.6}","{-1,0,0}",7.97E+06,-
7b8224e2-c3a9-46e9-b698-485bb7358bf9-004d1a3a,5052986,Walls,Basic Wall,בטון 20,-,659.905177,1062.2,20,1.40E+07,"{6063.12039, 5051.650604, -549.1}","{0,-1,0}",1.40E+07,-
79f68a8d-86ce-4aa1-b553-f5bdf8ba6ec4-004d2095,5054613,Walls,Basic Wall,בטון 30,-,978.934609,800,30.000013,2.35E+07,"{6222.635106, 5365.697406, -450}","{0,1,0}",1.86E+07,-
8b67897b-a6e8-4c3d-9109-a446962bd303-004d369f,5060255,Walls,Basic Wall,בטון 30,-,319.046808,1062.2,30,1.02E+07,"{5748.167802, 5221.174008, -549.1}","{-1,0,0}",7.12E+06,-
a410c12d-fdaf-49b0-b219-c91b9a2f734d-004d5e55,5070421,Walls,Basic Wall,בטון 50,-,179.998913,997.2,50,8.97E+06,"{5762.578941, 4005.125461, -581.6}","{1,0,0}",7.62E+06,-
22da9f56-4c63-4aa7-83c5-17a5c85daea2-004d655c,5072220,Walls,Basic Wall,בטון 47,-,242.916371,1089,47,1.24E+07,"{5764.078941, 3743.667819, -605.5}","{-1,0,0}",1.18E+07,-
22da9f56-4c63-4aa7-83c5-17a5c85daea2-004d65b9,5072313,Walls,Basic Wall,בטון 47,-,289.915284,987,47.008824,1.35E+07,"{6719.074528, 3720.167276, -656.5}","{-1,0,0}",1.24E+07,-
19fb248b-f601-4254-b68c-0a65bacfb3e4-004d736f,5075823,Walls,Basic Wall,בטון 47,-,742.238271,1202,47,4.19E+07,"{4150.534303, 4433.387761, -679}","{-0.950085,0.311992,0}",4.10E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d78bb,5077179,Walls,Basic Wall,בטון 50,-,270,1186.590289,50,1.60E+07,"{6557.578941, 3890.124917, -596.295144}","{0,-1,0}",1.25E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7905,5077253,Walls,Basic Wall,בטון 50,-,180,1025.998599,50,9.23E+06,"{6447.578941, 4005.124917, -530.9993}","{-1,0,0}",7.73E+06,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7934,5077300,Walls,Basic Wall,בטון 47,-,289.915284,987,47,1.34E+07,"{6446.078941, 3720.167276, -656.5}","{1,0,0}",1.34E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7967,5077351,Walls,Basic Wall,בטון 47,-,682,1180.70028,47,3.78E+07,"{6081.578941, 3598.709634, -561.64986}","{0,-1,0}",3.78E+07,-
ebe4868b-3cce-4c34-af50-b504715ebc40-004e291f,5122335,Floors,Floor,ריצוף לובי 100/100,-,2173.486089,49,1008.257948,1.07E+08,"{6511.61669, 4579.689656, 6.5}","{0.321741,0.946828,0}",3.42E+07,-
19cc2db5-366f-472e-ab79-e40b1794972d-004e3c08,5127176,Walls,Basic Wall,בטון 20,-,325,1265,20,8.22E+06,"{5743.167802, 4889.150604, -647.5}","{-1,0,0}",7.06E+06,-
d5dda42d-bc1d-41ca-b9c2-03d47c248f86-004f1815,5183509,Walls,Basic Wall,בטון 47,-,289.916371,1092,47,1.49E+07,"{5196.078941, 3720.167819, -604}","{1,0,0}",1.24E+07,-
d5dda42d-bc1d-41ca-b9c2-03d47c248f86-004f1b84,5184388,Walls,Basic Wall,בטון 47,-,1630.699121,1215,47,9.31E+07,"{8048.370948, 4903.800348, -672.5}","{1.0,0.000044,0}",8.87E+07,-
f99a8f66-caa9-482b-b1ae-1ae5246ab744-004f2469,5186665,Walls,Basic Wall,בטון 47,-,412.975348,1007,47,1.95E+07,"{4966.091267, 3598.709634, -666.5}","{0,-1,0}",1.95E+07,-
b2352c5f-0a3c-45ec-96b9-94cb028a103d-004fa52a,5219626,Windows,M_Louvers with Trim-H60,W100/H60,79f68a8d-86ce-4aa1-b553-f5bdf8ba6ec4-004d2095,103.79,63.79,32.6,215836.9097,"{5889.772802, 5365.697412, -130}","{0,-1,0}",29081.25405,-
5628f74d-8e10-4b8b-b89c-dc367274c1e0-00517ae6,5339878,Floors,Floor,"רצפת ממ""ד-79",-,1589.662336,57,852.196662,7.72E+07,"{5960.617239, 4079.068715, 5.5}","{0.321741,0.946828,0}",1.15E+07,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-00534191,5456273,Walls,Basic Wall,בטון 15,-,267.525687,290.5,15,1.17E+06,"{6602.667802, 4907.887761, 841.75}","{-1,0,0}",1.13E+06,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-00534197,5456279,Walls,Basic Wall,בטון 20,-,397,290.5,20,2.31E+06,"{6061.667802, 4791.650604, 841.75}","{0,1,0}",1.84E+06,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-00534199,5456281,Doors,Metal Door,110/210 אש,4137b9a9-e4c7-4f95-929d-f8a55e14c84b-00534197,110,210,20,462000,"{6185.167802, 4791.650604, 802.5}","{0,1,0}",154500,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-0053419a,5456282,Walls,Basic Wall,בטון 15,-,55,290.5,15,239662.5,"{6112.667802, 4754.150604, 841.75}","{1,0,0}",239662.5,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-0053421f,5456415,Walls,Basic Wall,בטון 20,-,260,306.5,20,1.59E+06,"{6250.167802, 4911.650604, 833.75}","{1,0,0}",1.48E+06,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-00534220,5456416,Walls,Basic Wall,בטון 20,-,907,290.5,20,5.27E+06,"{6206.667802, 5051.650604, 841.75}","{0,-1,0}",5.26E+06,-
4137b9a9-e4c7-4f95-929d-f8a55e14c84b-005346b4,5457588,Floors,Floor,דירה-43 - בטון23,-,43,2957.28988,1640.739579,2.09E+08,"{6090.223881, 4665.49881, 1008.5}","{0,1,0}",9.40E+07,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534cb7,5459127,Floors,Floor,רצפת מרפסת-41 עם בידוד,-,43.5,200.046761,416.051374,3.62E+06,"{7671.892201, 4579.150604, 1008.75}","{0,1,0}",3.40E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534df9,5459449,Walls,Basic Wall,בטון 20,-,140,290.5,20,813400,"{5173.167802, 4656.650604, 1174.25}","{1,0,0}",393060,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e00,5459456,Walls,Basic Wall,בטון 20,-,397,290.5,20,2.31E+06,"{6061.667802, 4791.650604, 1174.25}","{0,1,0}",1.84E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e01,5459457,Walls,Basic Wall,בטון 15,-,447,290.5,15,1.95E+06,"{5896.667802, 4734.150604, 1174.25}","{0,-1,0}",738308.2508,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e02,5459458,Doors,Metal Door,110/210 אש,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e00,110,210,20,462000,"{6185.167802, 4791.650604, 1135.0}","{0,1,0}",154500,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e03,5459459,Walls,Basic Wall,בטון 15,-,40,290.5,15,174300,"{6112.667802, 4761.650604, 1174.25}","{1,0,0}",174300,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e0b,5459467,Doors,Metal Door,100/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00534df9,100,210,20,420000,"{5173.167802, 4661.650604, 1135.0}","{-1,0,0}",143250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e14,5459476,Walls,Basic Wall,בטון 20,-,292.5,290.5,20,1.70E+06,"{6638.917802, 4596.650604, 1174.25}","{0,-1,0}",1.70E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e15,5459477,Walls,Basic Wall,בטון 20,-,290.5,78,20,453180,"{5634.167802, 4736.650604, 1174.25}","{0,-1,0}",453180,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e18,5459480,Walls,Basic Wall,בטון 20,-,289.046808,287.5,20,1.66E+06,"{6033.167802, 5206.174008, 1175.75}","{1,0,0}",1.66E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e19,5459481,Walls,Basic Wall,בטון 20,-,313.217995,289.5,20,1.81E+06,"{5743.167802, 5218.259602, 1174.75}","{1,0,0}",1.45E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1a,5459482,Doors,Metal Door,100/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1d,100,210,20,420000,"{5407.167802, 4736.650604, 1135.0}","{0,1,0}",143250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1d,5459485,Walls,Basic Wall,בטון 20,-,628,289.5,20,3.64E+06,"{5281.167802, 4736.650604, 1174.75}","{0,-1,0}",3.22E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1e,5459486,Walls,Basic Wall,בטון 20,-,90,285.5,20,513900,"{5518.167802, 5399.868599, 1172.75}","{1,0,0}",511900,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1f,5459487,Walls,Basic Wall,בטון 20,-,205,289.5,20,1.19E+06,"{5630.667802, 5364.868599, 1174.75}","{0,1,0}",898950,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e20,5459488,Walls,Basic Wall,בלוק 7,-,180.217995,289.5,7,365211.766,"{5511.667802, 5264.759602, 1174.75}","{-1,0,0}",365211.766,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e21,5459489,Doors,Mamad Door angle 180or90 with Inner Door - Parametric,80/200,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e19,90,200,24.650167,443702.997,"{5740.842719, 5117.211923, 1130.1}","{1,0,0}",178952.7104,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e23,5459491,Walls,Basic Wall,בלוק 10,-,605.094823,289.5,10,1.75E+06,"{6695.62039, 5185.697412, 1174.75}","{0,1,0}",1.42E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e24,5459492,Walls,Basic Wall,בטון 20,-,100.171186,289.5,20,579991.1697,"{6548.167802, 5410.783006, 1174.75}","{-1,0,0}",579991.1697,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e27,5459495,Doors,Metal Door,100/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00535217,100,210,20,420000,"{6775.167802, 4704.599231, 1135.0}","{1,0,0}",143250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e29,5459497,Walls,Basic Wall,בלוק 10,-,270.171186,289.5,10,782145.5848,"{6993.167802, 5325.783006, 1174.75}","{-1,0,0}",782145.5848,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e2e,5459502,Walls,Basic Wall,בטון 20,-,290,289.5,20,1.68E+06,"{5322.578941, 4255.130121, 1174.75}","{0,1,0}",1.68E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e2f,5459503,Walls,Basic Wall,בטון 20,-,305.005204,289.5,20,1.77E+06,"{5187.578941, 4092.627519, 1174.75}","{1,0,0}",1.44E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e30,5459504,Walls,Basic Wall,בטון 20,-,193.979517,289.5,20,1.12E+06,"{5767.578941, 4168.140363, 1174.75}","{-1,0,0}",1.12E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e31,5459505,Walls,Basic Wall,בטון 20,-,210.426791,289.5,20,1.22E+06,"{6437.578941, 4159.864, 1174.75}","{1,0,0}",1.22E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e32,5459506,Walls,Basic Wall,בטון 25,-,95,289.5,25,687562.5,"{6730.078941, 3912.624917, 1174.75}","{-1,0,0}",687562.5,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e33,5459507,Walls,Basic Wall,בטון 30,-,295,289.5,30,2.56E+06,"{6570.078941, 3880.124917, 1174.75}","{0,-1,0}",2.05E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e34,5459508,Walls,Basic Wall,בטון 20,-,270,289.5,20,1.56E+06,"{5622.578941, 4255.130121, 1174.75}","{0,1,0}",1.20E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e35,5459509,Walls,Basic Wall,בטון 20,-,289.5,230,20,1.33E+06,"{5062.578941, 3950.124917, 1174.75}","{0,-1,0}",1.04E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e36,5459510,Walls,Basic Wall,בטון 20,-,74.998913,332.5,20,498742.7694,"{4957.578941, 3902.625461, 1196.25}","{-1,0,0}",498742.7694,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e37,5459511,Walls,Basic Wall,בטון 20,-,289.5,270,20,1.56E+06,"{6582.578941, 4255.077396, 1174.75}","{0,1,0}",1.56E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e38,5459512,Walls,Basic Wall,בטון 20,-,691.5246,289.5,20,4.00E+06,"{5477.578941, 4240.888305, 1174.75}","{-1,0,0}",4.00E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e39,5459513,Walls,Basic Wall,בטון 20,-,331.5,20,20,132600,"{5477.578941, 4596.650604, 1194.75}","{0,1,0}",132400,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e3b,5459515,Walls,Basic Wall,בטון 30,-,100,332.5,30,997500,"{4626.578941, 4701.650604, 1196.25}","{-1,0,0}",872370,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e3c,5459516,Walls,Basic Wall,בלוק 10,-,185.005204,289.5,10,535590.0656,"{4952.578941, 4052.627519, 1174.75}","{-1,0,0}",535590.0656,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e41,5459521,Walls,Basic Wall,בטון 20,-,269.073209,289.5,20,1.56E+06,"{6437.578941, 4399.614, 1174.75}","{-1,0,0}",1.56E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e43,5459523,Walls,Basic Wall,בטון 20,-,100,330.5,20,661000,"{6947.868821, 3910.124917, 1195.25}","{1,0,0}",581453.8097,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e44,5459524,Walls,Basic Wall,בטון 20,-,289.5,195.28988,20,1.13E+06,"{6840.223881, 3950.124917, 1174.75}","{0,1,0}",842728.4053,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e45,5459525,Walls,Basic Wall,בלוק 10,-,290,289.5,10,839550,"{6959.868821, 4105.124917, 1174.75}","{1,0,0}",671550,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e46,5459526,Walls,Basic Wall,בטון 20,-,120,330.5,20,793200,"{5535.614618, 4526.650604, 1195.25}","{1,0,0}",695904.355,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e4a,5459530,Doors,Metal Door,100/210,682a0f5c-deb6-44cb-848d-ef6ea117e1f8-00c852d0,100,210,20,420000,"{5954.578941, 4596.650604, 1135.0}","{0,-1,0}",143250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e57,5459543,Walls,Basic Wall,בלוק 10,-,289.5,75,10,217125,"{6775.078941, 4135.124917, 1174.75}","{0,-1,0}",217125,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e58,5459544,Doors,Wooden Door1,80/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e8e,80,210,10,168000,"{6857.578941, 4135.124917, 1135.0}","{0,-1,0}",96250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e59,5459545,Walls,Basic Wall,בלוק 10,-,80.419363,330.5,10,265785.9937,"{6732.578941, 4305.287077, 1195.25}","{1,0,0}",265785.9937,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e7c,5459580,Doors,Mamad Door angle 180or90 with Inner Door - Parametric,80X200,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e34,90,200,24.650167,443702.997,"{5710.577622, 4257.455205, 1130.1}","{0,-1,0}",178952.7104,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e7f,5459583,Walls,Basic Wall,בטון 20,-,52.5,289.5,20,303975,"{6437.578941, 4560.400604, 1174.75}","{1,0,0}",303975,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e83,5459587,Windows,הזזה-דו-כנפי,120/120,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e35,124,128,24.843215,394311.5012,"{5062.078941, 3948.546525, 1202.0}","{0,-1,0}",50136.40299,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e84,5459588,Windows,הזזה-דו-כנפי,120/120,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e1f,128,124,24.843215,394311.5012,"{5653.167802, 5366.446992, 1202.0}","{0,1,0}",50136.40299,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e86,5459590,Windows,הזזה-דו-כנפי,120/120,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e44,124,128,24.843215,394311.5012,"{6852.578941, 3948.546525, 1202.0}","{0,-1,0}",50136.40299,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e88,5459592,Walls,Basic Wall,בטון 20,-,240,290.5,20,1.39E+06,"{6250.167802, 4921.650604, 1174.25}","{1,0,0}",1.39E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e89,5459593,Walls,Basic Wall,בטון 20,-,907,290.5,20,5.27E+06,"{6206.667802, 5051.650604, 1174.25}","{0,-1,0}",5.26E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e8b,5459595,Walls,Basic Wall,בטון 22+ 3 טיח,-,114.866286,332.5,25,954826.0063,"{6325.667802, 5438.130556, 1196.25}","{-1,0,0}",954826.0063,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e8c,5459596,Walls,Basic Wall,בטון 25,-,60,289.5,25,434250,"{5740.667802, 5404.868599, 1174.75}","{1,0,0}",434250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e8d,5459597,Walls,Basic Wall,בטון 25,-,74.998913,330.5,25,619678.5161,"{5185.078941, 3902.625461, 1195.25}","{1,0,0}",543632.8849,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e8e,5459598,Walls,Basic Wall,בלוק 10,-,142.28988,289.5,10,411929.2026,"{6883.723881, 4135.124917, 1174.75}","{0,-1,0}",243929.2026,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e90,5459600,Walls,Basic Wall,בלוק 10,-,80,289.5,10,231600,"{5693.167802, 5179.650604, 1174.75}","{0,1,0}",179100,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e92,5459602,Windows,Tovna_Mamad_Zinor4_Int,"8""_int",953fa245-a320-4cd6-9f55-a8b06715b17d-00534e2f,16,16,29.5,7552,"{5192.328941, 4168.130121, 1261.0}","{1,0,0}",1348.199181,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e94,5459604,Windows,Tovna_Mamad_Zinor4_Int,"8""_int",6765c72d-2bac-419c-9a5d-9ae350d6c47c-0061f73b,16,16,29.5,7552,"{6722.828941, 4164.130121, 1265.0}","{-1,0,0}",1348.199181,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00534e95,5459605,Windows,Tovna_Mamad_Zinor4_Int,"8""_int",953fa245-a320-4cd6-9f55-a8b06715b17d-00534e19,16,16,29.5,7552,"{5747.917802, 5141.650604, 1265.0}","{1,0,0}",1348.199181,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053516d,5460333,Walls,Basic Wall,בטון 22 + טיח חוץ אפור 3,-,76,330.5,25,627950,"{7559.368821, 4357.124917, 1195.25}","{1,0,0}",562080.4768,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535170,5460336,Walls,Basic Wall,בטון 22+ 3 טיח,-,72,332.5,25,598500,"{4911.578941, 3877.626005, 1196.25}","{0,-1,0}",598500,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535172,5460338,Walls,Basic Wall,בטון 22+ 3 טיח,-,62,330.5,25,512275,"{4936.167802, 4739.150604, 1195.25}","{0,1,0}",456351,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535175,5460341,Floors,Floor,לובי טיפוסי-42,-,1587.233272,42,880.269262,5.87E+07,"{6012.632806, 4779.846564, 1008.0}","{0.321741,0.946828,0}",1.50E+07,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535192,5460370,Doors,Wooden Door,80/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00534e23,80,210,10,168000,"{6688.167802, 5185.697412, 1135.0}","{0,1,0}",96250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351b5,5460405,Walls,Basic Wall,בטון 30,-,270,289.5,30,2.35E+06,"{5332.578941, 3880.126005, 1174.75}","{0,-1,0}",1.94E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351b6,5460406,Walls,Basic Wall,בטון 30,-,323,289.5,30,2.81E+06,"{5629.078941, 3880.126005, 1174.75}","{0,-1,0}",2.40E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351b7,5460407,Walls,Basic Wall,בטון 25,-,159.525687,289.5,25,1.15E+06,"{6435.078941, 3974.887761, 1174.75}","{-1,0,0}",1.15E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351b8,5460408,Walls,Basic Wall,בטון 22 + טיח חוץ אפור 3,-,330.5,71.701019,25,592429.6687,"{7511.018311, 4382.624917, 1195.25}","{0,1,0}",406296.5997,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351b9,5460409,Walls,Basic Wall,בטון 30+ 3 טיח חוץ אפור,-,25,330.5,33,272662.5,"{7491.667802, 5195.676291, 1195.25}","{1,0,0}",239206.5,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351ba,5460410,Walls,Basic Wall,בטון 22+ 3 טיח,-,330.5,60.701019,25,501542.1687,"{7538.518311, 5195.676291, 1195.25}","{0,-1,0}",501534.4308,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351d8,5460440,Windows,ממד נגרר-כנף אחד1,100/100,953fa245-a320-4cd6-9f55-a8b06715b17d-005351b5,176.5,114,30,603630,"{5295.328941, 3880.126005, 1202}","{0,-1,0}",56437.4,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351de,5460446,Doors,Wooden Door,80/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00535245,80,210,10,168000,"{4952.578941, 4216.650604, 1135.0}","{-1,0,0}",96250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-005351eb,5460459,Walls,Basic Wall,בלוק 10,-,398,289.5,10,1.15E+06,"{5199.167802, 5166.650604, 1174.75}","{0,1,0}",1.15E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535217,5460503,Walls,Basic Wall,בטון 20,-,217.474313,290.5,20,1.26E+06,"{6775.167802, 4715.387761, 1174.25}","{-1,0,0}",842925.7594,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053521e,5460510,Walls,Basic Wall,בטון 30+ 3 טיח חוץ אפור,-,176.0246,289.5,33,1.68E+06,"{5774.078941, 3983.138305, 1174.75}","{1,0,0}",1.68E+06,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535220,5460512,Walls,Basic Wall,בטון 20,-,289.5,38.035678,20,220226.5734,"{5506.596779, 4476.650604, 1174.75}","{0,1,0}",220226.5734,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535221,5460513,Walls,Basic Wall,בלוק 10,-,321.520483,289.5,10,930801.7978,"{5650.578941, 4425.890363, 1174.75}","{-1,0,0}",762801.7978,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535223,5460515,Doors,Wooden Door1,80/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00535221,80,210,10,168000,"{5650.578941, 4414.650604, 1135.0}","{-1,0,0}",96250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535243,5460547,Walls,Basic Wall,בלוק 10,-,76,330.5,10,251180,"{5182.578941, 4303.130121, 1195.25}","{-1,0,0}",251180,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535244,5460548,Walls,Basic Wall,בלוק 10,-,306,289.5,10,885870,"{4794.578941, 4271.650604, 1174.75}","{0,1,0}",885870,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535245,5460549,Walls,Basic Wall,בלוק 10,-,131.520483,289.5,10,380751.7978,"{4952.578941, 4210.890363, 1174.75}","{-1,0,0}",212751.7978,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053524e,5460558,Walls,Basic Wall,בלוק 10,-,80,110,10,88000,"{6780.167802, 4546.650604, 1085.0}","{1,0,0}",88000,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535264,5460580,Walls,Basic Wall,בלוק 10,-,289.5,91.5,10,264892.5,"{6783.328941, 4340.496758, 1174.75}","{0,-1,0}",264892.5,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535265,5460581,Walls,Basic Wall,בלוק 10,-,75.371841,289.5,10,218201.4789,"{6824.078941, 4297.810838, 1174.75}","{1,0,0}",218201.4789,-
953fa245-a320-4cd6-9f55-a8b06715b17d-00535279,5460601,Walls,Basic Wall,בלוק 10,-,278.217995,289.5,10,805441.0943,"{5403.167802, 5300.759602, 1174.75}","{1,0,0}",637441.0943,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053527a,5460602,Walls,Basic Wall,בלוק 10,-,289.5,138,10,399510,"{5584.167802, 5179.650604, 1174.75}","{0,1,0}",284010,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053527e,5460606,Doors,Wooden Door,80/210,953fa245-a320-4cd6-9f55-a8b06715b17d-00535279,80,210,10,168000,"{5403.167802, 5221.650604, 1135.0}","{-1,0,0}",96250,-
953fa245-a320-4cd6-9f55-a8b06715b17d-0053528c,5460620,Walls,Basic Wall,בלוק 10,-,365,289.5,10,1.06E+06,"{7239.868821, 4067.624917, 1174.75}","{1,0,0}",1.06E+06,-
